PS,PW,MM,theta,t-color,t-in,t-out,IM,NC,K,p-shuf,max-iters,eps,a,g,seed,num_episodes,mean_total_reward,mean_steps_river,mean_path_length,mean_wallclock_time,mean20_total_reward,mean20_steps_river,mean20_path_length,mean20_wallclock_time
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,1.0,1.0,0,4908,72.78035859820702,2.0036674816625917,10.186634066829665,0.08382293069469511,73.0,2.0,10.0,0.08220864534378047
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,1.0,1.0,1,4957,81.8353843050232,1.0086746015735324,10.086544280815009,0.08186951654198335,82.0,1.0,10.0,0.08116309642791744
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.0,50000.0,0.0,1.0,1.0,2,4897,90.67204410863795,0.013273432713906474,10.208494996936901,0.08368745574616207,91.0,0.0,10.0,0.08197786808013911
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,0.0,0.0,0,13,-7808.2307692307695,500.2307692307692,3407.153846153846,26.72221612930298,-7808.2307692307695,500.2307692307692,3407.153846153846,26.72221612930298
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,0.0,0.0,1,11,-8313.09090909091,500.3636363636364,3910.818181818182,30.767699805173006,-8313.09090909091,500.3636363636364,3910.818181818182,30.767699805173006
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,0.0,0.0,2,17,-6853.941176470588,446.5882352941176,2935.6470588235293,23.13500435212079,-6853.941176470588,446.5882352941176,2935.6470588235293,23.13500435212079
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,0.0,0.5,0,13,-7808.2307692307695,500.2307692307692,3407.153846153846,26.589929580688477,-7808.2307692307695,500.2307692307692,3407.153846153846,26.589929580688477
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,0.0,0.5,1,11,-8313.09090909091,500.3636363636364,3910.818181818182,30.57344430143183,-8313.09090909091,500.3636363636364,3910.818181818182,30.57344430143183
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,0.0,0.5,2,17,-6853.941176470588,446.5882352941176,2935.6470588235293,22.97308952668134,-6853.941176470588,446.5882352941176,2935.6470588235293,22.97308952668134
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,0.0,1.0,0,13,-7808.2307692307695,500.2307692307692,3407.153846153846,26.771949162850014,-7808.2307692307695,500.2307692307692,3407.153846153846,26.771949162850014
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,0.0,1.0,1,11,-8313.09090909091,500.3636363636364,3910.818181818182,30.791542638431896,-8313.09090909091,500.3636363636364,3910.818181818182,30.791542638431896
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,0.0,1.0,2,17,-6853.941176470588,446.5882352941176,2935.6470588235293,23.147834258921005,-6853.941176470588,446.5882352941176,2935.6470588235293,23.147834258921005
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,1.0,0.0,0,25,-1870.36,8.68,1893.24,15.028751821517945,-2254.35,8.15,2282.0,18.140610218048096
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,1.0,0.0,1,27,-1747.7777777777778,9.666666666666666,1761.7777777777778,14.03323346597177,-2308.15,10.55,2314.2,18.453874635696412
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,1.0,0.0,2,34,-1424.6176470588234,7.911764705882353,1454.4117647058824,11.502866162973291,-1316.15,5.05,1371.7,10.81752551794052
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,1.0,0.1,50000.0,0.05,1.0,0.5,0,5766,91.60041623309053,0.08099202219909817,8.670655567117587,0.07385967661017062,92.6,0.0,8.4,0.06740059852600096
